fips1,name,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,Median Household Income 2018,% State Median 
53031,"Jefferson County, WA",2011,10.5,2012,10,2013,9.4,2014,8,2015,7.3,2016,7.1,2017,6.2,2018,5.9,2019,5.6,"$55,893 ",75.50%
53033,"King County, WA",2011,7.9,2012,6.3,2013,5.1,2014,4.7,2015,4.2,2016,3.8,2017,3.5,2018,3.2,2019,2.8,"$94,822 ",128.10%
53035,"Kitsap County, WA",2011,8.4,2012,7.9,2013,7.2,2014,6.1,2015,5.7,2016,5.6,2017,4.9,2018,4.7,2019,4.6,"$76,530 ",103.40%
53037,"Kittitas County, WA",2011,9.3,2012,8.8,2013,7.8,2014,6.9,2015,6.3,2016,6,2017,5.4,2018,5.6,2019,5.5,"$55,624 ",75.10%
53039,"Klickitat County, WA",2011,11.8,2012,10.2,2013,9.4,2014,7.8,2015,7.3,2016,6.8,2017,6,2018,5.8,2019,5.8,"$56,503 ",76.30%
53041,"Lewis County, WA",2011,12.8,2012,12,2013,10.5,2014,9.1,2015,8.6,2016,7.8,2017,6.7,2018,6.4,2019,6.2,"$57,019 ",77.00%
53043,"Lincoln County, WA",2011,8.1,2012,7.3,2013,6.8,2014,5.8,2015,6,2016,5.6,2017,5,2018,5,2019,5,"$53,326 ",72.00%
53045,"Mason County, WA",2011,11.7,2012,10.9,2013,10,2014,8.4,2015,8,2016,7.6,2017,6.7,2018,6.5,2019,6.3,"$58,239 ",78.70%
53047,"Okanogan County, WA",2011,10.3,2012,9.5,2013,8.6,2014,7.1,2015,7.1,2016,6.7,2017,6.9,2018,6.6,2019,6.8,"$48,345 ",65.30%
53049,"Pacific County, WA",2011,13.5,2012,12,2013,11.3,2014,9.9,2015,9.2,2016,8.1,2017,7.2,2018,7.1,2019,6.9,"$46,365 ",62.60%
53051,"Pend Oreille County, WA",2011,14,2012,12.8,2013,11.9,2014,10,2015,9.8,2016,8.9,2017,7.5,2018,7.3,2019,7.9,"$49,750 ",67.20%
53053,"Pierce County, WA",2011,10.1,2012,9.3,2013,8.3,2014,7,2015,6.5,2016,6,2017,5.4,2018,5.3,2019,5.1,"$75,022 ",101.30%
53055,"San Juan County, WA",2011,7.2,2012,6.4,2013,6,2014,5,2015,4.9,2016,4.7,2017,4,2018,4,2019,3.7,"$62,249 ",84.10%
53057,"Skagit County, WA",2011,10.5,2012,9.7,2013,8.6,2014,7.2,2015,6.9,2016,6.5,2017,5.6,2018,5.3,2019,5.4,"$70,955 ",95.90%
53059,"Skamania County, WA",2011,12.2,2012,10.6,2013,9.9,2014,8.2,2015,7.6,2016,6.9,2017,6.2,2018,5.7,2019,5.5,"$64,344 ",86.90%
53061,"Snohomish County, WA",2011,9.5,2012,7.5,2013,5.8,2014,5.2,2015,4.5,2016,4.2,2017,3.9,2018,3.5,2019,3,"$87,096 ",117.70%
53063,"Spokane County, WA",2011,9.7,2012,9.1,2013,8.2,2014,7,2015,6.6,2016,6.1,2017,5.5,2018,5.4,2019,5.2,"$59,408 ",80.30%
53065,"Stevens County, WA",2011,12.4,2012,11.8,2013,10.8,2014,9.3,2015,9.1,2016,8.3,2017,7.4,2018,7.3,2019,7,"$51,183 ",69.10%
53067,"Thurston County, WA",2011,9,2012,8.4,2013,7.6,2014,6.5,2015,6.1,2016,5.6,2017,5,2018,4.9,2019,4.8,"$72,400 ",97.80%
53069,"Wahkiakum County, WA",2011,14.3,2012,12.7,2013,12,2014,9.7,2015,9.1,2016,8.6,2017,7.4,2018,6.8,2019,6.7,"$55,692 ",75.20%
53071,"Walla Walla County, WA",2011,8,2012,7.5,2013,7.1,2014,6.2,2015,6,2016,5.4,2017,5,2018,4.8,2019,4.9,"$57,329 ",77.40%
53073,"Whatcom County, WA",2011,9,2012,8.1,2013,7.4,2014,6.6,2015,6.1,2016,5.8,2017,5.1,2018,4.9,2019,5,"$62,262 ",84.10%
53075,"Whitman County, WA",2011,6.5,2012,6.6,2013,6,2014,5.2,2015,5,2016,5,2017,4.4,2018,4.5,2019,4.3,"$45,389 ",61.30%
53077,"Yakima County, WA",2011,10.7,2012,10.6,2013,10,2014,8.7,2015,8.2,2016,7.6,2017,6.9,2018,6.5,2019,7,"$51,377 ",69.40%
