fips1,name,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,year,UR,Median Household Income 2018,% State Median 
51023,"Botetourt County, VA",2011,5.9,2012,5.5,2013,5.3,2014,4.9,2015,4.2,2016,3.7,2017,3.5,2018,2.7,2019,2.5,"$71,874 ",99.00%
51025,"Brunswick County, VA",2011,10.6,2012,10.1,2013,9.4,2014,8.1,2015,6.8,2016,6,2017,5.3,2018,5,2019,4.7,"$41,803 ",57.60%
51027,"Buchanan County, VA",2011,8.6,2012,9.1,2013,11,2014,10.5,2015,10.9,2016,10.8,2017,7.1,2018,5.5,2019,5.6,"$32,144 ",44.30%
51029,"Buckingham County, VA",2011,9.6,2012,8.5,2013,7.9,2014,6.8,2015,5.9,2016,5.5,2017,5.4,2018,4.5,2019,4.2,"$45,889 ",63.20%
51031,"Campbell County, VA",2011,7.2,2012,6.5,2013,6,2014,5.4,2015,4.7,2016,4.5,2017,4.1,2018,3.4,2019,3.1,"$51,525 ",71.00%
51033,"Caroline County, VA",2011,9,2012,7.8,2013,7.1,2014,6.2,2015,5.1,2016,4.5,2017,4.3,2018,3.5,2019,3.2,"$67,335 ",92.70%
51035,"Carroll County, VA",2011,9.9,2012,8.5,2013,8.3,2014,6.7,2015,5.3,2016,5.2,2017,4.4,2018,3.7,2019,3.6,"$41,517 ",57.20%
51036,"Charles City County, VA",2011,9,2012,7.8,2013,6.8,2014,6,2015,5.3,2016,4.6,2017,4.8,2018,4.1,2019,3.4,"$56,872 ",78.30%
51037,"Charlotte County, VA",2011,9.8,2012,8.7,2013,7.8,2014,6.8,2015,5.7,2016,5.1,2017,4.5,2018,3.7,2019,3.5,"$41,382 ",57.00%
51041,"Chesterfield County, VA",2011,6.8,2012,6.1,2013,5.7,2014,5.1,2015,4.3,2016,3.9,2017,3.6,2018,3,2019,2.7,"$80,734 ",111.20%
51043,"Clarke County, VA",2011,5.7,2012,5.2,2013,4.7,2014,4.4,2015,4,2016,3.6,2017,3.4,2018,2.9,2019,2.5,"$84,021 ",115.70%
51045,"Craig County, VA",2011,7.5,2012,7,2013,7,2014,6.3,2015,5.5,2016,4.8,2017,4.3,2018,3.6,2019,3.2,"$50,858 ",70.10%
51047,"Culpeper County, VA",2011,6.4,2012,5.7,2013,5.4,2014,5,2015,4.3,2016,3.9,2017,3.6,2018,2.9,2019,2.6,"$72,111 ",99.30%
51049,"Cumberland County, VA",2011,7.7,2012,7.1,2013,6.7,2014,6.1,2015,5.1,2016,4.7,2017,4.1,2018,3.3,2019,3,"$46,300 ",63.80%
51051,"Dickenson County, VA",2011,9.9,2012,10.7,2013,11.2,2014,10.2,2015,10.1,2016,10,2017,6.8,2018,5.2,2019,4.9,"$35,047 ",48.30%
51053,"Dinwiddie County, VA",2011,8,2012,7.6,2013,7.4,2014,6.5,2015,5.4,2016,4.9,2017,4.5,2018,3.6,2019,3.3,"$57,257 ",78.90%
51057,"Essex County, VA",2011,8.3,2012,7.3,2013,6.6,2014,6.4,2015,5.4,2016,4.9,2017,4.8,2018,3.9,2019,3.5,"$50,785 ",70.00%
51059,"Fairfax County, VA",2011,4.8,2012,4.5,2013,4.4,2014,4.2,2015,3.6,2016,3.3,2017,3,2018,2.5,2019,2.3,"$122,035 ",168.10%
51061,"Fauquier County, VA",2011,5.5,2012,5.1,2013,4.9,2014,4.6,2015,3.9,2016,3.5,2017,3.3,2018,2.6,2019,2.4,"$93,462 ",128.70%
51063,"Floyd County, VA",2011,6.3,2012,5.7,2013,5.4,2014,4.7,2015,4,2016,4.1,2017,3.7,2018,2.8,2019,2.6,"$48,315 ",66.50%
51065,"Fluvanna County, VA",2011,5.8,2012,5.3,2013,4.8,2014,4.4,2015,3.8,2016,3.4,2017,3,2018,2.5,2019,2.3,"$73,463 ",101.20%
51067,"Franklin County, VA",2011,7.5,2012,6.6,2013,5.9,2014,5.4,2015,4.7,2016,4.3,2017,3.9,2018,3.1,2019,2.9,"$53,522 ",73.70%
51069,"Frederick County, VA",2011,6.5,2012,5.8,2013,5.3,2014,4.7,2015,4,2016,3.5,2017,3.2,2018,2.6,2019,2.4,"$77,684 ",107.00%
51071,"Giles County, VA",2011,8,2012,7.3,2013,7,2014,6.2,2015,5.2,2016,5.4,2017,4.7,2018,3.4,2019,3.3,"$50,591 ",69.70%
51073,"Gloucester County, VA",2011,6.3,2012,5.6,2013,5.2,2014,4.8,2015,4.1,2016,3.7,2017,3.3,2018,2.7,2019,2.6,"$70,938 ",97.70%
51075,"Goochland County, VA",2011,6.3,2012,5.6,2013,5.1,2014,4.8,2015,4.2,2016,3.8,2017,3.5,2018,3,2019,2.8,"$89,331 ",123.00%
51077,"Grayson County, VA",2011,10.9,2012,9.6,2013,9.7,2014,7.8,2015,5.9,2016,5.2,2017,4,2018,3.1,2019,2.9,"$37,550 ",51.70%
51079,"Greene County, VA",2011,6,2012,5.6,2013,4.8,2014,4.4,2015,3.7,2016,3.3,2017,3,2018,2.6,2019,2.3,"$67,498 ",93.00%
51081,"Greensville County, VA",2011,8.8,2012,8.6,2013,7.7,2014,6.5,2015,5.4,2016,5.1,2017,4.3,2018,3.7,2019,3.4,"$43,533 ",60.00%
51083,"Halifax County, VA",2011,11,2012,9.5,2013,9.1,2014,7.8,2015,6.4,2016,5.9,2017,4.9,2018,4.2,2019,3.9,"$43,096 ",59.40%
51085,"Hanover County, VA",2011,6,2012,5.5,2013,5.1,2014,4.6,2015,3.9,2016,3.5,2017,3.3,2018,2.7,2019,2.4,"$91,028 ",125.40%
51087,"Henrico County, VA",2011,6.7,2012,6,2013,5.6,2014,5.1,2015,4.3,2016,3.9,2017,3.6,2018,3,2019,2.8,"$68,581 ",94.50%
51089,"Henry County, VA",2011,12.6,2012,10.6,2013,9.1,2014,7.7,2015,6.4,2016,5.6,2017,4.6,2018,3.8,2019,3.3,"$36,471 ",50.20%
51091,"Highland County, VA",2011,5.6,2012,4.9,2013,4.3,2014,3.9,2015,3.5,2016,3.2,2017,3.3,2018,2.8,2019,2.7,"$45,089 ",62.10%
51093,"Isle of Wight County, VA",2011,6.9,2012,6.3,2013,5.7,2014,5.3,2015,4.6,2016,4.4,2017,3.8,2018,3,2019,2.8,"$72,993 ",100.50%
51095,"James City County, VA",2011,6.1,2012,5.7,2013,5.3,2014,4.9,2015,4.3,2016,3.9,2017,3.5,2018,2.9,2019,2.7,"$86,541 ",119.20%
51097,"King and Queen County, VA",2011,7.4,2012,6.6,2013,6.1,2014,5.8,2015,4.8,2016,4.2,2017,3.5,2018,3.1,2019,2.8,"$51,124 ",70.40%
51099,"King George County, VA",2011,7,2012,6.5,2013,5.8,2014,5.4,2015,4.8,2016,4.3,2017,3.7,2018,3,2019,2.6,"$86,619 ",119.30%
51101,"King William County, VA",2011,6.9,2012,6.3,2013,5.6,2014,5.2,2015,4.2,2016,3.8,2017,3.4,2018,3,2019,2.7,"$68,724 ",94.70%
51103,"Lancaster County, VA",2011,9.3,2012,8,2013,7.5,2014,7.7,2015,6.6,2016,5.7,2017,5.2,2018,4.4,2019,4.3,"$52,814 ",72.70%
51105,"Lee County, VA",2011,7.6,2012,8.3,2013,8.8,2014,8.2,2015,7.2,2016,6.9,2017,5.2,2018,4.2,2019,4.1,"$34,796 ",47.90%
51107,"Loudoun County, VA",2011,4.7,2012,4.4,2013,4.4,2014,4.3,2015,3.6,2016,3.2,2017,3,2018,2.5,2019,2.3,"$140,382 ",193.40%
51109,"Louisa County, VA",2011,6.8,2012,6.2,2013,5.7,2014,5.1,2015,4.2,2016,3.9,2017,3.4,2018,2.8,2019,2.7,"$63,714 ",87.80%
51111,"Lunenburg County, VA",2011,8.6,2012,7.6,2013,7.1,2014,5.9,2015,5.1,2016,4.7,2017,4.1,2018,3.3,2019,3.2,"$41,421 ",57.10%
51113,"Madison County, VA",2011,5.2,2012,4.8,2013,4.5,2014,4,2015,3.4,2016,3.2,2017,2.9,2018,2.5,2019,2.2,"$60,450 ",83.30%
51115,"Mathews County, VA",2011,6.5,2012,5.7,2013,5.1,2014,4.6,2015,4.2,2016,4,2017,3.7,2018,3,2019,2.9,"$61,764 ",85.10%
51117,"Mecklenburg County, VA",2011,10.4,2012,9.4,2013,9.3,2014,7.7,2015,6.1,2016,5.7,2017,4.9,2018,4.1,2019,4,"$44,832 ",61.80%
51119,"Middlesex County, VA",2011,6.5,2012,6.1,2013,5.5,2014,5.1,2015,4.2,2016,3.9,2017,3.2,2018,2.7,2019,2.6,"$54,871 ",75.60%
51121,"Montgomery County, VA",2011,6.3,2012,5.9,2013,5.7,2014,5.1,2015,4.3,2016,4.2,2017,3.7,2018,3,2019,2.8,"$52,538 ",72.40%
51125,"Nelson County, VA",2011,6.3,2012,5.8,2013,5.5,2014,4.9,2015,4.1,2016,3.6,2017,3.5,2018,3.1,2019,2.8,"$56,690 ",78.10%
51127,"New Kent County, VA",2011,6.4,2012,5.6,2013,5,2014,4.5,2015,3.8,2016,3.4,2017,3.2,2018,2.8,2019,2.4,"$90,858 ",125.10%
51131,"Northampton County, VA",2011,8.9,2012,9.3,2013,9.1,2014,7.6,2015,6.1,2016,5.9,2017,5.6,2018,5.5,2019,4.4,"$43,157 ",59.40%
51133,"Northumberland County, VA",2011,9,2012,8.2,2013,7.4,2014,7.1,2015,6.1,2016,5.5,2017,5.2,2018,4.5,2019,4.3,"$55,418 ",76.30%
51135,"Nottoway County, VA",2011,7.2,2012,6.4,2013,6,2014,5.4,2015,4.5,2016,4,2017,3.8,2018,3.1,2019,2.8,"$46,368 ",63.90%
51137,"Orange County, VA",2011,7.5,2012,6.7,2013,5.9,2014,5.3,2015,4.6,2016,4.1,2017,3.8,2018,3.1,2019,3,"$63,681 ",87.70%
51139,"Page County, VA",2011,11.1,2012,10.2,2013,9.2,2014,8.1,2015,6.9,2016,5.6,2017,5.1,2018,4.2,2019,3.8,"$49,073 ",67.60%
51141,"Patrick County, VA",2011,10.8,2012,9.1,2013,8.3,2014,6.7,2015,5.4,2016,4.9,2017,4.2,2018,3.9,2019,3.5,"$42,862 ",59.00%
51143,"Pittsylvania County, VA",2011,9.1,2012,7.8,2013,7,2014,6.4,2015,5.3,2016,4.8,2017,4.3,2018,3.6,2019,3.4,"$44,710 ",61.60%
51145,"Powhatan County, VA",2011,6.2,2012,5.6,2013,5.1,2014,4.5,2015,4,2016,3.6,2017,3.3,2018,2.7,2019,2.5,"$88,475 ",121.90%
51147,"Prince Edward County, VA",2011,9,2012,8.5,2013,8.4,2014,7.7,2015,6.3,2016,5.4,2017,4.8,2018,3.9,2019,3.8,"$48,450 ",66.70%
51149,"Prince George County, VA",2011,7.8,2012,7.4,2013,7,2014,6.3,2015,5.4,2016,4.9,2017,4.5,2018,3.7,2019,3.4,"$68,133 ",93.80%
51153,"Prince William County, VA",2011,5.7,2012,5.3,2013,5.2,2014,4.9,2015,4.1,2016,3.7,2017,3.4,2018,2.8,2019,2.5,"$106,200 ",146.30%
51155,"Pulaski County, VA",2011,8.7,2012,7.4,2013,7.6,2014,6.1,2015,5.1,2016,6,2017,5.3,2018,3.5,2019,3.4,"$50,834 ",70.00%
51157,"Rappahannock County, VA",2011,5.6,2012,5.4,2013,5.1,2014,4.8,2015,4.2,2016,3.6,2017,3.5,2018,2.8,2019,2.5,"$71,035 ",97.80%
51159,"Richmond County, VA",2011,6.7,2012,6.4,2013,6.2,2014,5.5,2015,4.6,2016,3.7,2017,3.6,2018,3.2,2019,3,"$49,399 ",68.00%
51161,"Roanoke County, VA",2011,5.7,2012,5.2,2013,5,2014,4.6,2015,3.9,2016,3.6,2017,3.4,2018,2.8,2019,2.5,"$68,734 ",94.70%
51163,"Rockbridge County, VA",2011,6.8,2012,6.1,2013,5.8,2014,5.3,2015,4.7,2016,4.4,2017,4.1,2018,3,2019,2.7,"$53,413 ",73.60%
51165,"Rockingham County, VA",2011,6,2012,5.7,2013,5.1,2014,4.7,2015,4.1,2016,3.6,2017,3.2,2018,2.7,2019,2.4,"$61,375 ",84.50%
51167,"Russell County, VA",2011,9.5,2012,8.7,2013,8.5,2014,7.9,2015,6.6,2016,6.5,2017,5.2,2018,4.3,2019,4.2,"$38,966 ",53.70%
51169,"Scott County, VA",2011,7.3,2012,7.5,2013,7,2014,5.9,2015,5.2,2016,4.9,2017,4,2018,3.3,2019,3.1,"$40,161 ",55.30%
51171,"Shenandoah County, VA",2011,7.1,2012,6.4,2013,5.6,2014,5,2015,4.3,2016,3.8,2017,3.4,2018,2.9,2019,2.5,"$55,283 ",76.10%
51173,"Smyth County, VA",2011,10.9,2012,9.6,2013,9.1,2014,7.9,2015,6.5,2016,5.9,2017,5,2018,4,2019,3.7,"$40,972 ",56.40%
51175,"Southampton County, VA",2011,7.7,2012,6.3,2013,5.6,2014,4.9,2015,4,2016,4,2017,3.6,2018,2.8,2019,2.7,"$52,741 ",72.60%
51177,"Spotsylvania County, VA",2011,6.7,2012,6.1,2013,5.8,2014,5.4,2015,4.6,2016,4.1,2017,3.7,2018,3.1,2019,2.9,"$86,695 ",119.40%
51179,"Stafford County, VA",2011,6.2,2012,5.8,2013,5.7,2014,5.3,2015,4.5,2016,4,2017,3.6,2018,3,2019,2.8,"$108,421 ",149.30%
51181,"Surry County, VA",2011,8.5,2012,7.8,2013,7.3,2014,6.2,2015,5.1,2016,5.3,2017,4.4,2018,3.5,2019,3.4,"$54,663 ",75.30%
51183,"Sussex County, VA",2011,10.5,2012,9.7,2013,9.3,2014,7.8,2015,6.9,2016,6.3,2017,5.9,2018,5,2019,4.5,"$43,031 ",59.30%
51185,"Tazewell County, VA",2011,7.9,2012,8.3,2013,8.6,2014,8.1,2015,7.4,2016,7.6,2017,5.6,2018,4.5,2019,4.4,"$42,074 ",58.00%
51187,"Warren County, VA",2011,7.4,2012,6.7,2013,6.1,2014,5.6,2015,4.8,2016,4.1,2017,3.7,2018,3.1,2019,2.8,"$65,635 ",90.40%
51191,"Washington County, VA",2011,7.1,2012,6.7,2013,6.4,2014,5.8,2015,4.8,2016,4.6,2017,4.1,2018,3.4,2019,3.3,"$45,510 ",62.70%
51193,"Westmoreland County, VA",2011,7.5,2012,7.3,2013,6.9,2014,6.5,2015,5.4,2016,4.6,2017,4.4,2018,3.7,2019,3.5,"$51,414 ",70.80%
51195,"Wise County, VA",2011,7.7,2012,8.9,2013,10.3,2014,9.5,2015,8.3,2016,8.6,2017,6.4,2018,5,2019,4.6,"$38,045 ",52.40%
51197,"Wythe County, VA",2011,9.2,2012,7.7,2013,7.8,2014,6.5,2015,5.4,2016,5.8,2017,5,2018,3.8,2019,3.6,"$46,345 ",63.80%
51199,"York County, VA",2011,6.1,2012,5.8,2013,5.4,2014,5,2015,4.3,2016,3.9,2017,3.5,2018,2.8,2019,2.7,"$86,317 ",118.90%
51510,"Alexandria city, VA",2011,4.5,2012,4.1,2013,4.1,2014,3.8,2015,3.3,2016,2.9,2017,2.8,2018,2.3,2019,2.1,"$99,425 ",136.90%
51520,"Bristol city, VA",2011,8.3,2012,7.3,2013,7,2014,6.4,2015,5.4,2016,5.1,2017,4.5,2018,3.8,2019,3.8,"$36,903 ",50.80%
51530,"Buena Vista city, VA",2011,9.1,2012,7.9,2013,6.8,2014,5.8,2015,5.1,2016,5.1,2017,4.2,2018,3.2,2019,2.7,"$43,390 ",59.80%
51540,"Charlottesville city, VA",2011,5.6,2012,5.1,2013,4.7,2014,4.3,2015,3.7,2016,3.4,2017,3.1,2018,2.6,2019,2.4,"$56,997 ",78.50%
51550,"Chesapeake city, VA",2011,6.9,2012,6.4,2013,5.9,2014,5.3,2015,4.5,2016,4.3,2017,3.8,2018,3.1,2019,2.9,"$78,846 ",108.60%
51570,"Colonial Heights city, VA",2011,7.5,2012,7,2013,6.5,2014,5.8,2015,4.7,2016,4.5,2017,4,2018,3.4,2019,3.2,"$56,800 ",78.20%
51580,"Covington city, VA",2011,9.4,2012,9,2013,8.4,2014,8,2015,6,2016,5.9,2017,6,2018,4.8,2019,4.2,"$40,504 ",55.80%
51590,"Danville city, VA",2011,11.6,2012,10.3,2013,9.8,2014,8.7,2015,7.2,2016,6.1,2017,5.6,2018,5.1,2019,5,"$36,015 ",49.60%
51595,"Emporia city, VA",2011,10.8,2012,10.6,2013,9.8,2014,8.2,2015,7,2016,6.5,2017,5.3,2018,4.8,2019,5,"$36,908 ",50.80%
51600,"Fairfax city, VA",2011,4.9,2012,4.3,2013,4.2,2014,4.1,2015,3.5,2016,3.1,2017,2.9,2018,2.3,2019,2.1,"$105,532 ",145.40%
51610,"Falls Church city, VA",2011,4.2,2012,4,2013,3.9,2014,3.6,2015,3,2016,2.8,2017,2.6,2018,2.2,2019,2,"$137,551 ",189.50%
51620,"Franklin city, VA",2011,11.4,2012,10,2013,9.3,2014,7.9,2015,6.7,2016,6.1,2017,5.3,2018,4.4,2019,4,"$37,327 ",51.40%
51630,"Fredericksburg city, VA",2011,8,2012,7.1,2013,6.5,2014,6.1,2015,5.3,2016,4.8,2017,4.4,2018,3.5,2019,3.4,"$58,448 ",80.50%
51640,"Galax city, VA",2011,10.3,2012,8.9,2013,8.6,2014,7.4,2015,5.5,2016,5,2017,4.2,2018,3.5,2019,3.3,"$36,571 ",50.40%
51650,"Hampton city, VA",2011,8.9,2012,8.2,2013,7.5,2014,6.8,2015,6,2016,5.8,2017,5,2018,4.1,2019,3.8,"$54,763 ",75.40%
51660,"Harrisonburg city, VA",2011,7.8,2012,7.4,2013,6.8,2014,6.1,2015,5.3,2016,4.9,2017,4.4,2018,3.5,2019,3.2,"$42,640 ",58.70%
51670,"Hopewell city, VA",2011,11.3,2012,10.1,2013,9.8,2014,9,2015,7.6,2016,6.6,2017,6.1,2018,4.9,2019,4.3,"$42,568 ",58.60%
51678,"Lexington city, VA",2011,9.2,2012,8.8,2013,8.5,2014,7.8,2015,6.8,2016,6.2,2017,6,2018,4.8,2019,4.7,"$48,726 ",67.10%
51680,"Lynchburg city, VA",2011,8.1,2012,7.5,2013,7.1,2014,6.4,2015,5.6,2016,5.3,2017,4.9,2018,4.1,2019,3.7,"$43,200 ",59.50%
51683,"Manassas city, VA",2011,6.1,2012,5.6,2013,5.4,2014,5,2015,4.2,2016,3.6,2017,3.4,2018,2.7,2019,2.5,"$79,141 ",109.00%
51685,"Manassas Park city, VA",2011,5.6,2012,5.3,2013,5.1,2014,4.8,2015,4.2,2016,3.7,2017,3.3,2018,2.8,2019,2.5,"$77,032 ",106.10%
51690,"Martinsville city, VA",2011,15.2,2012,12.8,2013,11.2,2014,9.9,2015,8.8,2016,7.1,2017,6.3,2018,4.7,2019,4.1,"$33,892 ",46.70%
51700,"Newport News city, VA",2011,8.2,2012,7.5,2013,6.8,2014,6.3,2015,5.4,2016,5.2,2017,4.6,2018,3.7,2019,3.5,"$50,283 ",69.30%
51710,"Norfolk city, VA",2011,8.3,2012,7.6,2013,7,2014,6.4,2015,5.6,2016,5.3,2017,4.6,2018,3.7,2019,3.5,"$48,519 ",66.80%
51720,"Norton city, VA",2011,7,2012,7.7,2013,8.3,2014,7.8,2015,6.9,2016,6.9,2017,5.2,2018,4,2019,3.7,"$34,442 ",47.40%
51730,"Petersburg city, VA",2011,12.9,2012,12,2013,11.7,2014,10.7,2015,9.2,2016,7.9,2017,7.3,2018,6.2,2019,5.6,"$37,049 ",51.00%
51735,"Poquoson city, VA",2011,5.7,2012,5.4,2013,5,2014,4.5,2015,3.9,2016,3.5,2017,3.4,2018,2.7,2019,2.4,"$96,057 ",132.30%
51740,"Portsmouth city, VA",2011,9.4,2012,8.8,2013,8.1,2014,7.3,2015,6.2,2016,6.2,2017,5.4,2018,4.1,2019,3.9,"$47,343 ",65.20%
51750,"Radford city, VA",2011,8.4,2012,7.9,2013,7.5,2014,6.8,2015,5.7,2016,5.5,2017,4.9,2018,3.9,2019,3.6,"$39,254 ",54.10%
51760,"Richmond city, VA",2011,8.5,2012,7.5,2013,6.8,2014,6.2,2015,5.2,2016,4.7,2017,4.3,2018,3.6,2019,3.3,"$48,747 ",67.10%
51770,"Roanoke city, VA",2011,8.1,2012,7.2,2013,6.7,2014,5.9,2015,4.9,2016,4.3,2017,4.1,2018,3.3,2019,3,"$42,715 ",58.80%
51775,"Salem city, VA",2011,6.4,2012,5.9,2013,5.8,2014,5.2,2015,4.4,2016,4,2017,3.7,2018,3,2019,2.8,"$57,274 ",78.90%
51790,"Staunton city, VA",2011,7.1,2012,6.4,2013,5.8,2014,5.2,2015,4.4,2016,3.9,2017,3.6,2018,2.9,2019,2.7,"$47,319 ",65.20%
51800,"Suffolk city, VA",2011,7.5,2012,7,2013,6.3,2014,5.8,2015,5,2016,4.7,2017,4.1,2018,3.3,2019,3,"$69,753 ",96.10%
51810,"Virginia Beach city, VA",2011,6.1,2012,5.7,2013,5.4,2014,4.9,2015,4.3,2016,4,2017,3.5,2018,2.9,2019,2.7,"$76,520 ",105.40%
51820,"Waynesboro city, VA",2011,8.1,2012,7,2013,6.1,2014,5.4,2015,4.8,2016,4.2,2017,4,2018,3.3,2019,2.9,"$47,117 ",64.90%
51830,"Williamsburg city, VA",2011,9,2012,8.3,2013,7.7,2014,7.4,2015,6.3,2016,5.6,2017,5.2,2018,4.1,2019,3.9,"$52,845 ",72.80%
51840,"Winchester city, VA",2011,7.4,2012,6.7,2013,5.8,2014,5.1,2015,4.4,2016,4,2017,3.6,2018,3,2019,2.8,"$51,456 ",70.90%
